State,"Population estimate for
July 1, 2014"
California,"38,802,500"
Texas,"26,956,958"
Florida,"19,893,297"
New York,"19,746,227"
Illinois,"12,880,580"
Pennsylvania,"12,787,209"
Ohio,"11,594,163"
Georgia,"10,097,343"
North Carolina,"9,943,964"
Michigan,"9,909,877"
New Jersey,"8,938,175"
Virginia,"8,326,289"
Washington,"7,061,530"
Massachusetts,"6,745,408"
Arizona,"6,731,484"
Indiana,"6,596,855"
Tennessee,"6,549,352"
Missouri,"6,063,589"
Maryland,"5,976,407"
Wisconsin,"5,757,564"
Minnesota,"5,457,173"
Colorado,"5,355,866"
Alabama,"4,849,377"
South Carolina,"4,832,482"
Louisiana,"4,649,676"
Kentucky,"4,413,457"
Oregon,"3,970,239"
Oklahoma,"3,878,051"
Puerto Rico,"3,548,397"
Connecticut,"3,596,677"
Iowa,"3,107,126"
Mississippi,"2,994,079"
Arkansas,"2,966,369"
Utah,"2,942,902"
Kansas,"2,904,021"
Nevada,"2,839,099"
New Mexico,"2,085,572"
Nebraska,"1,881,503"
West Virginia,"1,850,326"
Idaho,"1,634,464"
Hawaii,"1,419,561"
Maine,"1,330,089"
New Hampshire,"1,326,813"
Rhode Island,"1,055,173"
Montana,"1,023,579"
Delaware,"935,614"
South Dakota,"853,175"
North Dakota,"739,482"
Alaska,"736,732"
District of Columbia,"658,893"
Vermont,"626,562"
Wyoming,"584,153"
